Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1706106111.497925,5661,0,1
1,NewOrder,1706106111.503661,7143,0,1
2,Payment,1706106111.510823,3965,0,1
1,NewOrder,1706106111.514804,4483,0,1
1,NewOrder,1706106111.519301,2885,0,1
4,Delivery,1706106111.522199,12786,0,1
5,StockLevel,1706106111.535000,1948,0,1
1,NewOrder,1706106111.536958,3019,0,1
1,NewOrder,1706106111.539990,5217,0,1
2,Payment,1706106111.545223,2684,0,1
2,Payment,1706106111.547920,2570,0,1
1,NewOrder,1706106111.550500,4519,0,1
1,NewOrder,1706106111.555034,4643,0,1
1,NewOrder,1706106111.559694,3287,0,1
1,NewOrder,1706106111.562999,3377,0,1
1,NewOrder,1706106111.566391,3075,0,1
1,NewOrder,1706106111.569483,5068,0,1
1,NewOrder,1706106111.574569,4135,0,1
2,Payment,1706106111.578722,2810,0,1
4,Delivery,1706106111.581548,7384,0,1
1,NewOrder,1706106111.588952,2966,0,1
2,Payment,1706106111.591934,1440,0,1
1,NewOrder,1706106111.593389,2510,0,1
1,NewOrder,1706106111.595916,3265,0,1
2,Payment,1706106111.599196,2433,0,1
1,NewOrder,1706106111.601648,3041,0,1
1,NewOrder,1706106111.604706,4381,0,1
2,Payment,1706106111.609106,3697,0,1
2,Payment,1706106111.612821,2205,0,1
1,NewOrder,1706106111.615041,2738,0,1
2,Payment,1706106111.617799,2624,0,1
1,NewOrder,1706106111.620441,2497,0,1
1,NewOrder,1706106111.622957,3659,0,1
3,OrderStatus,1706106111.626633,2821,0,1
2,Payment,1706106111.629470,2296,0,1
4,Delivery,1706106111.631783,6795,0,1
2,Payment,1706106111.638602,1457,0,1
1,NewOrder,1706106111.640078,3743,0,1
2,Payment,1706106111.643848,2389,0,1
1,NewOrder,1706106111.646261,4365,0,1
2,Payment,1706106111.650648,1411,0,1
2,Payment,1706106111.652080,1327,0,1
4,Delivery,1706106111.653417,7212,0,1
2,Payment,1706106111.660662,1893,0,1
4,Delivery,1706106111.662568,7381,0,1
2,Payment,1706106111.669967,1226,0,1
1,NewOrder,1706106111.671205,3858,0,1
2,Payment,1706106111.675080,1257,0,1
2,Payment,1706106111.676352,2091,0,1
4,Delivery,1706106111.678457,8692,0,1
1,NewOrder,1706106111.687170,3887,0,1
2,Payment,1706106111.691073,1198,0,1
2,Payment,1706106111.692285,2331,0,1
2,Payment,1706106111.694630,2048,0,1
1,NewOrder,1706106111.696693,3814,0,1
1,NewOrder,1706106111.700527,3143,0,1
2,Payment,1706106111.703689,2156,0,1
2,Payment,1706106111.705863,1998,0,1
2,Payment,1706106111.707880,1104,0,1
2,Payment,1706106111.708999,2151,0,1
2,Payment,1706106111.711169,2002,0,1
4,Delivery,1706106111.713188,6756,0,1
2,Payment,1706106111.719968,2417,0,1
2,Payment,1706106111.722404,2089,0,1
1,NewOrder,1706106111.724539,4494,0,1
1,NewOrder,1706106111.729057,2520,0,1
2,Payment,1706106111.731596,1960,0,1
3,OrderStatus,1706106111.733573,2047,0,1
2,Payment,1706106111.735634,2294,0,1
2,Payment,1706106111.737947,1303,0,1
4,Delivery,1706106111.739265,7641,0,1
2,Payment,1706106111.746926,10564,0,1
1,NewOrder,1706106111.757510,2660,0,1
1,NewOrder,1706106111.760187,3405,0,1
2,Payment,1706106111.763612,2319,0,1
1,NewOrder,1706106111.765946,2943,0,1
2,Payment,1706106111.768907,2037,0,1
1,NewOrder,1706106111.770960,3952,0,1
1,NewOrder,1706106111.774930,3409,0,1
2,Payment,1706106111.778358,1933,0,1
1,NewOrder,1706106111.780306,2992,0,1
2,Payment,1706106111.783316,1084,0,1
1,NewOrder,1706106111.784415,2238,0,1
2,Payment,1706106111.786666,1069,0,1
4,Delivery,1706106111.787749,7012,0,1
1,NewOrder,1706106111.794779,3960,0,1
1,NewOrder,1706106111.798757,2366,0,1
1,NewOrder,1706106111.801142,3303,0,1
2,Payment,1706106111.804465,2064,0,1
1,NewOrder,1706106111.806547,2750,0,1
2,Payment,1706106111.809315,1082,0,1
1,NewOrder,1706106111.810410,2745,0,1
2,Payment,1706106111.813175,1209,0,1
2,Payment,1706106111.814397,1872,0,1
5,StockLevel,1706106111.816282,1256,0,1
2,Payment,1706106111.817552,2104,0,1
1,NewOrder,1706106111.819671,3239,0,1
1,NewOrder,1706106111.822922,3764,0,1
1,NewOrder,1706106111.826706,3256,0,1
2,Payment,1706106111.829977,1131,0,1
1,NewOrder,1706106111.831122,2312,0,1
2,Payment,1706106111.833448,2054,0,1
1,NewOrder,1706106111.835515,2263,0,1
2,Payment,1706106111.837791,2021,0,1
5,StockLevel,1706106111.839830,1106,0,1
2,Payment,1706106111.840958,2120,0,1
1,NewOrder,1706106111.843093,2195,0,1
1,NewOrder,1706106111.845302,3065,0,1
3,OrderStatus,1706106111.848387,2041,0,1
1,NewOrder,1706106111.850447,4567,0,1
2,Payment,1706106111.855038,1102,0,1
1,NewOrder,1706106111.856157,3571,0,1
4,Delivery,1706106111.859747,6398,0,1
1,NewOrder,1706106111.866165,3621,0,1
1,NewOrder,1706106111.869808,3409,0,1
2,Payment,1706106111.873241,1140,0,1
