Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,505.600,1.974,0.184,1.081,1.678,2.562,3.278,3.960,5.325,16.019,0.507
5,526.400,1.897,0.162,0.986,1.636,2.437,3.067,3.473,5.043,45.633,0.527
10,519.200,1.924,0.154,1.052,1.655,2.491,3.179,3.629,5.058,46.874,0.520
15,525.200,1.902,0.155,0.975,1.652,2.475,3.179,3.671,5.162,6.870,0.526
20,523.000,1.911,0.147,0.991,1.646,2.446,3.203,3.711,5.136,48.324,0.523
25,517.200,1.932,0.149,1.053,1.647,2.536,3.227,3.723,5.145,6.030,0.518
30,545.200,1.832,0.150,0.780,1.646,2.447,3.151,3.623,5.366,47.710,0.546
35,660.000,1.514,0.148,0.759,1.446,2.202,2.656,2.927,3.528,48.029,0.660
40,642.400,1.553,0.145,0.780,0.979,2.261,2.766,3.263,4.438,10.970,0.644
45,673.400,1.483,0.147,0.762,1.028,2.178,2.598,2.794,3.537,49.719,0.674
50,675.600,1.478,0.145,0.759,1.005,2.183,2.597,2.812,3.557,46.843,0.676
55,700.200,1.426,0.133,0.753,0.882,2.077,2.566,2.747,3.511,4.145,0.701
