Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,205.400,1.335,0.714,0.836,1.537,1.642,1.768,1.912,2.562,9.931,0.749
5,213.800,1.271,0.686,0.780,1.524,1.606,1.678,1.721,2.055,7.937,0.787
10,220.200,1.276,0.655,0.754,1.515,1.593,1.641,1.675,1.989,13.492,0.784
15,222.000,1.256,0.682,0.771,1.515,1.605,1.668,1.722,1.800,2.648,0.796
20,214.400,1.289,0.679,0.778,1.548,1.616,1.668,1.707,1.948,2.776,0.776
25,219.000,1.290,0.693,0.749,1.548,1.615,1.666,1.708,1.843,8.742,0.775
30,220.600,1.142,0.702,0.752,0.805,1.603,1.664,1.701,1.890,3.802,0.876
35,305.000,0.767,0.694,0.736,0.746,0.764,0.793,0.825,1.331,5.328,1.304
40,292.000,0.790,0.699,0.739,0.751,0.782,0.840,0.870,1.330,12.476,1.266
45,283.800,0.764,0.689,0.739,0.751,0.768,0.792,0.820,1.316,1.925,1.308
50,287.400,0.774,0.690,0.745,0.756,0.774,0.806,0.845,1.325,1.896,1.293
55,300.200,0.761,0.687,0.736,0.746,0.764,0.791,0.817,1.043,1.566,1.314
