Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.200,0.832,0.502,0.716,0.816,0.915,1.001,1.122,1.396,2.425,1.201
5,19.000,0.798,0.549,0.716,0.817,0.865,0.932,0.973,1.106,1.106,1.254
10,19.400,0.765,0.465,0.711,0.775,0.832,0.893,0.950,1.049,1.049,1.307
15,19.600,0.787,0.552,0.717,0.782,0.859,0.907,0.982,1.072,1.072,1.271
20,20.600,0.758,0.493,0.668,0.763,0.837,0.909,0.926,1.042,1.130,1.319
25,21.600,0.791,0.489,0.709,0.793,0.859,0.952,0.968,1.167,1.414,1.264
30,18.200,0.864,0.567,0.737,0.858,0.928,1.074,1.262,1.602,1.602,1.157
35,26.400,0.820,0.599,0.749,0.818,0.883,0.962,1.021,1.131,1.403,1.219
40,29.000,0.809,0.565,0.721,0.813,0.887,0.936,0.960,1.035,1.126,1.237
45,29.000,0.813,0.576,0.734,0.830,0.888,0.946,0.961,0.990,1.012,1.229
50,26.400,0.821,0.572,0.734,0.838,0.913,0.960,1.006,1.073,1.080,1.218
55,26.800,0.817,0.551,0.743,0.825,0.890,0.947,0.976,0.987,1.004,1.224
