Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.600,5.310,4.677,4.841,4.940,5.198,6.756,7.329,8.692,12.786,0.188
5,17.000,4.940,4.671,4.801,4.887,5.036,5.206,5.416,5.805,5.805,0.202
10,19.600,5.054,4.662,4.815,4.906,5.058,5.602,5.729,7.424,7.424,0.198
15,19.800,5.130,4.802,4.938,5.047,5.167,5.627,5.645,6.870,6.870,0.195
20,21.000,5.114,4.806,4.970,5.034,5.130,5.283,5.640,6.276,7.598,0.196
25,21.800,5.097,4.894,5.000,5.063,5.134,5.318,5.393,5.693,6.030,0.196
30,21.200,4.759,3.465,3.727,5.095,5.350,5.640,5.730,7.012,7.739,0.210
35,24.000,3.567,3.284,3.392,3.440,3.535,4.205,4.268,4.474,4.784,0.280
40,29.400,3.840,3.283,3.427,3.532,4.270,4.557,4.575,4.676,10.156,0.260
45,26.400,3.868,3.321,3.444,3.482,3.534,3.597,4.069,4.498,49.719,0.259
50,24.400,3.549,3.306,3.421,3.485,3.557,3.757,4.201,4.337,4.351,0.282
55,28.600,3.473,3.305,3.418,3.461,3.508,3.564,3.595,4.091,4.145,0.288
