Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,495.400,2.014,0.163,1.167,1.786,2.616,3.347,3.782,5.524,16.273,0.497
5,510.200,1.957,0.157,1.035,1.689,2.546,3.198,3.709,5.060,48.341,0.511
10,514.200,1.943,0.155,1.393,1.641,2.469,3.152,3.712,4.995,47.857,0.515
15,515.800,1.937,0.147,1.077,1.691,2.510,3.194,3.772,5.033,7.107,0.516
20,505.800,1.976,0.153,1.378,1.687,2.551,3.264,3.787,5.259,48.461,0.506
25,514.400,1.942,0.142,1.316,1.669,2.555,3.259,3.701,5.277,8.742,0.515
30,521.600,1.916,0.152,0.803,1.666,2.535,3.313,3.883,5.489,47.273,0.522
35,692.200,1.443,0.138,0.744,0.920,2.111,2.563,2.780,3.484,47.339,0.693
40,680.600,1.468,0.141,0.750,0.950,2.162,2.651,2.971,3.523,12.476,0.681
45,683.400,1.462,0.135,0.749,1.314,2.155,2.586,2.803,3.515,49.103,0.684
50,675.000,1.480,0.142,0.755,1.061,2.151,2.607,2.835,3.586,48.670,0.676
55,695.200,1.436,0.142,0.744,0.908,2.155,2.572,2.749,3.493,14.824,0.696
