Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1706454330.693978,10433,0,1
2,Payment,1706454330.704489,5601,0,1
2,Payment,1706454330.710107,2102,0,1
2,Payment,1706454330.712228,1818,0,1
2,Payment,1706454330.714061,7899,0,1
1,NewOrder,1706454330.721975,5281,0,1
2,Payment,1706454330.727269,2112,0,1
2,Payment,1706454330.729394,2102,0,1
3,OrderStatus,1706454330.731507,2490,0,1
1,NewOrder,1706454330.734010,4308,0,1
1,NewOrder,1706454330.738332,3249,0,1
1,NewOrder,1706454330.741593,3063,0,1
1,NewOrder,1706454330.744667,3621,0,1
1,NewOrder,1706454330.748300,2700,0,1
5,StockLevel,1706454330.751019,3037,0,1
2,Payment,1706454330.754079,2553,0,1
2,Payment,1706454330.756648,2010,0,1
1,NewOrder,1706454330.758675,3811,0,1
2,Payment,1706454330.762502,2368,0,1
2,Payment,1706454330.764883,1291,0,1
1,NewOrder,1706454330.766188,2820,0,1
2,Payment,1706454330.769023,1260,0,1
1,NewOrder,1706454330.770295,4427,0,1
1,NewOrder,1706454330.774741,3083,0,1
1,NewOrder,1706454330.777842,2985,0,1
2,Payment,1706454330.780844,2184,0,1
2,Payment,1706454330.783045,2297,0,1
1,NewOrder,1706454330.785354,4618,0,1
1,NewOrder,1706454330.789987,4132,0,1
2,Payment,1706454330.794144,2224,0,1
3,OrderStatus,1706454330.796385,2192,0,1
2,Payment,1706454330.798590,2470,0,1
1,NewOrder,1706454330.801075,3013,0,1
2,Payment,1706454330.804104,2061,0,1
1,NewOrder,1706454330.806178,3319,0,1
3,OrderStatus,1706454330.809512,1835,0,1
2,Payment,1706454330.811360,2020,0,1
5,StockLevel,1706454330.813393,1324,0,1
2,Payment,1706454330.814731,2226,0,1
2,Payment,1706454330.816970,1075,0,1
1,NewOrder,1706454330.818055,4211,0,1
2,Payment,1706454330.822282,1099,0,1
1,NewOrder,1706454330.823393,2253,0,1
1,NewOrder,1706454330.825665,2779,0,1
1,NewOrder,1706454330.828461,2825,0,1
1,NewOrder,1706454330.831299,3997,0,1
1,NewOrder,1706454330.835315,3398,0,1
2,Payment,1706454330.838731,2123,0,1
1,NewOrder,1706454330.840868,2815,0,1
2,Payment,1706454330.843701,1952,0,1
2,Payment,1706454330.845669,2270,0,1
2,Payment,1706454330.847952,1874,0,1
1,NewOrder,1706454330.849841,3891,0,1
2,Payment,1706454330.853748,1898,0,1
1,NewOrder,1706454330.855659,2198,0,1
2,Payment,1706454330.857871,1925,0,1
4,Delivery,1706454330.859808,11805,0,1
1,NewOrder,1706454330.871635,3458,0,1
2,Payment,1706454330.875111,1992,0,1
1,NewOrder,1706454330.877119,2433,0,1
3,OrderStatus,1706454330.879569,2094,0,1
2,Payment,1706454330.881676,1944,0,1
1,NewOrder,1706454330.883636,1943,0,1
3,OrderStatus,1706454330.885593,1688,0,1
1,NewOrder,1706454330.887294,3104,0,1
2,Payment,1706454330.890414,1907,0,1
2,Payment,1706454330.892335,1876,0,1
1,NewOrder,1706454330.894226,3588,0,1
1,NewOrder,1706454330.897831,1807,0,1
3,OrderStatus,1706454330.899651,811,0,1
1,NewOrder,1706454330.900473,2321,0,1
1,NewOrder,1706454330.902807,2322,0,1
2,Payment,1706454330.905144,1042,0,1
2,Payment,1706454330.906200,1806,0,1
1,NewOrder,1706454330.908018,2400,0,1
2,Payment,1706454330.910429,1278,0,1
1,NewOrder,1706454330.911717,2682,0,1
3,OrderStatus,1706454330.914419,1481,0,1
2,Payment,1706454330.915913,2042,0,1
3,OrderStatus,1706454330.917975,1800,0,1
2,Payment,1706454330.919791,1000,0,1
1,NewOrder,1706454330.920803,3241,0,1
2,Payment,1706454330.924060,1876,0,1
1,NewOrder,1706454330.925950,2746,0,1
