Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,212.000,2.614,0.799,2.101,2.548,3.043,3.503,3.755,4.427,10.433,0.382
5,278.400,2.323,0.907,1.875,2.248,2.636,2.944,3.221,3.816,24.657,0.430
10,293.600,2.155,0.746,1.770,2.182,2.523,2.776,2.851,3.052,4.967,0.464
15,285.400,2.199,0.795,1.784,2.186,2.569,2.828,3.011,3.193,6.238,0.455
20,296.800,2.151,0.686,1.753,2.108,2.508,2.770,2.916,3.224,4.777,0.465
25,302.800,2.114,0.666,1.754,2.103,2.464,2.733,2.837,2.953,3.932,0.473
30,304.800,2.101,0.735,1.737,2.047,2.447,2.728,2.821,2.935,12.489,0.476
35,293.600,2.255,0.733,1.817,2.228,2.637,2.987,3.104,3.272,5.259,0.443
40,303.400,2.103,0.709,1.729,2.036,2.444,2.733,2.813,3.419,10.302,0.476
45,305.200,2.146,0.712,1.750,2.146,2.489,2.751,2.816,3.450,4.581,0.466
50,308.200,2.102,0.648,1.731,2.070,2.469,2.724,2.796,2.994,4.471,0.476
55,315.400,2.081,0.658,1.749,2.051,2.450,2.691,2.793,2.906,3.694,0.481
