Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,21.600,0.856,0.186,0.270,1.028,1.151,1.411,1.800,2.192,2.490,1.168
5,25.000,0.266,0.172,0.200,0.223,0.250,0.313,0.387,1.116,1.168,3.754
10,25.000,0.219,0.157,0.185,0.209,0.234,0.275,0.315,0.407,0.470,4.573
15,22.400,0.210,0.150,0.187,0.204,0.227,0.252,0.270,0.306,0.416,4.757
20,21.000,0.201,0.151,0.179,0.192,0.217,0.238,0.258,0.289,0.309,4.967
25,27.800,0.192,0.145,0.171,0.187,0.200,0.218,0.253,0.323,0.355,5.211
30,25.400,0.191,0.147,0.169,0.185,0.205,0.222,0.236,0.278,0.406,5.249
35,28.600,0.212,0.152,0.183,0.211,0.234,0.247,0.265,0.339,0.381,4.714
40,25.000,0.191,0.152,0.172,0.182,0.196,0.220,0.254,0.363,0.402,5.226
45,22.400,0.194,0.153,0.173,0.186,0.205,0.224,0.243,0.321,0.402,5.161
50,27.600,0.192,0.149,0.173,0.190,0.200,0.224,0.233,0.309,0.401,5.217
55,27.200,0.191,0.154,0.174,0.188,0.202,0.215,0.224,0.291,0.314,5.248
