Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,219.400,1.390,0.703,0.801,1.575,1.654,1.787,1.905,2.297,11.782,0.720
5,257.600,0.863,0.686,0.729,0.761,0.829,0.978,1.615,1.757,9.727,1.158
10,301.200,0.759,0.682,0.722,0.738,0.772,0.820,0.851,1.034,1.975,1.317
15,285.800,0.783,0.678,0.725,0.770,0.810,0.848,0.879,1.371,2.269,1.278
20,282.200,0.761,0.673,0.716,0.739,0.782,0.824,0.867,1.291,1.830,1.314
25,304.800,0.746,0.676,0.714,0.728,0.746,0.781,0.810,1.294,5.678,1.341
30,273.400,0.738,0.676,0.710,0.723,0.746,0.770,0.797,1.038,1.933,1.355
35,272.200,0.788,0.681,0.727,0.793,0.816,0.844,0.870,1.049,3.996,1.268
40,293.200,0.745,0.662,0.710,0.723,0.746,0.781,0.817,1.274,4.250,1.341
45,289.000,0.742,0.676,0.712,0.727,0.749,0.789,0.831,0.962,1.599,1.348
50,297.400,0.741,0.678,0.709,0.724,0.748,0.781,0.813,1.168,1.526,1.350
55,289.200,0.745,0.677,0.713,0.726,0.749,0.781,0.813,1.329,1.585,1.343
