Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.800,0.867,0.584,0.753,0.813,0.925,1.055,1.136,3.037,3.037,1.153
5,22.400,0.839,0.592,0.747,0.832,0.916,0.998,1.054,1.215,1.480,1.193
10,28.000,0.916,0.621,0.837,0.912,0.999,1.081,1.105,1.215,1.357,1.091
15,24.800,0.906,0.622,0.813,0.922,0.997,1.036,1.075,1.189,1.226,1.104
20,25.400,0.917,0.599,0.847,0.923,0.993,1.063,1.107,1.212,1.244,1.091
25,28.200,0.910,0.648,0.826,0.919,0.986,1.049,1.078,1.165,1.194,1.099
30,23.800,0.914,0.587,0.816,0.915,1.033,1.085,1.136,1.200,1.343,1.095
35,27.200,0.915,0.599,0.831,0.922,1.005,1.081,1.110,1.132,1.150,1.093
40,30.800,0.891,0.609,0.785,0.887,0.964,1.023,1.077,1.561,1.662,1.123
45,26.600,0.935,0.578,0.813,0.932,1.022,1.109,1.253,1.542,1.747,1.070
50,27.800,0.903,0.602,0.806,0.893,0.987,1.074,1.110,1.184,1.286,1.107
55,24.400,0.918,0.641,0.810,0.931,1.021,1.082,1.126,1.206,1.257,1.089
