Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,436,436.000,393,1602,1927,2282,2820,3883,4567,6801,11805
1,495,495.000,199,1110,1709,2015,2640,3290,5007,5429,6772
2,518,518.000,188,1300,1654,1929,2488,3134,3842,5191,5570
3,516,516.000,186,1484,1664,1932,2518,3244,3635,5286,5552
4,491,491.000,192,1538,1722,2032,2539,3189,3976,6227,11782
5,508,508.000,198,843,1710,1965,2600,3433,4985,5900,6071
6,681,681.000,186,727,883,1465,2066,2678,3180,3844,5366
7,632,632.000,172,756,1427,1577,2379,2865,3226,4174,5046
8,633,633.000,174,766,1489,1576,2298,2765,3025,4262,4365
9,582,582.000,177,755,1485,1713,2309,2833,3574,9419,24657
10,676,676.000,164,734,942,1476,2238,2716,2883,3789,4474
11,689,689.000,157,735,893,1449,2095,2719,3052,3950,4582
12,657,657.000,167,742,1390,1520,2265,2732,2942,3735,5054
13,669,669.000,162,739,918,1492,2257,2740,3085,3829,4665
14,689,689.000,169,731,903,1447,2110,2607,2884,3774,4967
15,667,667.000,167,735,1168,1497,2191,2741,3495,3766,6238
16,684,684.000,154,727,880,1460,2221,2661,3456,3726,4057
17,627,627.000,174,790,1436,1592,2259,2851,3202,4324,4430
18,619,619.000,173,806,1375,1612,2317,2896,3172,4316,4509
19,649,649.000,150,794,903,1537,2195,2961,3251,4354,4600
20,696,696.000,164,726,872,1436,2089,2633,3464,3768,4777
21,654,654.000,166,729,1438,1526,2238,2717,3522,3830,4837
22,674,674.000,151,739,981,1479,2105,2704,2967,3786,4370
23,602,602.000,190,805,1500,1659,2380,3066,3346,4362,4620
24,656,656.000,168,726,1429,1524,2210,2701,3424,3820,5314
25,697,697.000,161,717,931,1431,2148,2614,2890,3704,4879
26,686,686.000,149,728,938,1453,2159,2687,2985,3693,3955
27,686,686.000,146,729,963,1456,2123,2743,2934,3787,5678
28,697,697.000,157,726,952,1432,2098,2617,2835,3646,3885
29,689,689.000,145,729,930,1449,2125,2686,2864,3721,4239
30,670,670.000,157,727,1014,1491,2115,2726,3545,3732,12489
31,667,667.000,162,719,1438,1498,2192,2719,3255,3614,3742
32,647,647.000,154,729,1478,1544,2279,2823,3543,3752,4417
33,677,677.000,147,716,1417,1475,2189,2610,3440,3621,4133
34,655,655.000,158,730,1431,1523,2235,2793,3521,3697,4992
35,650,650.000,161,779,989,1540,2239,2896,3197,4339,5050
36,612,612.000,200,812,922,1627,2389,3014,3257,4377,4438
37,609,609.000,180,809,1146,1638,2403,2998,3201,4396,4519
38,665,665.000,152,730,1131,1503,2214,2740,3014,4340,5259
39,685,685.000,162,724,1407,1455,2191,2640,2849,3609,3905
40,656,656.000,168,720,975,1522,2091,2756,3543,4669,10302
41,657,657.000,168,730,1461,1519,2249,2742,3196,3748,3950
42,684,684.000,152,733,1031,1464,2086,2662,2963,3708,3854
43,695,695.000,160,716,1012,1433,2059,2599,3183,3639,3949
44,721,721.000,162,716,841,1385,2046,2594,2954,3679,4957
45,647,647.000,153,735,1457,1543,2285,2746,2956,3943,5839
46,666,666.000,155,733,1428,1498,2230,2639,2802,3664,4581
47,647,647.000,166,724,1027,1544,2250,2753,3600,4172,5017
48,674,674.000,164,722,1253,1482,2205,2660,3255,3646,4570
49,716,716.000,156,719,812,1393,2053,2593,2786,3679,4550
50,679,679.000,156,722,1415,1470,2194,2651,2880,3636,3774
51,690,690.000,161,722,930,1447,2171,2649,2903,3668,3829
52,675,675.000,162,731,978,1478,2191,2758,3166,3815,4153
53,719,719.000,149,717,798,1390,2045,2567,2806,3682,4471
54,679,679.000,155,720,1409,1469,2195,2604,2757,3668,3953
55,689,689.000,158,723,1050,1450,2076,2636,2992,3785,4165
56,688,688.000,159,729,1107,1450,2096,2611,2801,3697,3918
57,680,680.000,155,725,1437,1470,2115,2609,2802,3716,3848
58,672,672.000,170,724,1430,1487,2143,2622,2816,3783,4272
59,687,687.000,154,726,1037,1451,2066,2655,3005,3684,4591
