Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,726.600,0.750,0.187,0.256,0.996,1.055,1.116,1.182,1.458,5.904,1.333
5,768.200,0.708,0.192,0.228,0.974,1.037,1.080,1.116,1.209,2.724,1.412
10,760.200,0.724,0.191,0.228,0.982,1.037,1.083,1.136,1.582,2.100,1.380
15,769.800,0.718,0.192,0.249,0.977,1.038,1.076,1.105,1.193,2.707,1.392
20,776.200,0.704,0.193,0.218,0.959,1.018,1.065,1.105,1.277,1.751,1.420
25,977.200,0.466,0.192,0.215,0.259,0.959,1.052,1.076,1.167,2.745,2.144
30,1245.800,0.238,0.186,0.210,0.223,0.265,0.283,0.301,0.362,2.083,4.196
35,1211.200,0.248,0.188,0.219,0.252,0.265,0.280,0.295,0.351,2.198,4.029
40,1209.400,0.237,0.189,0.212,0.225,0.256,0.280,0.300,0.380,2.545,4.214
45,1297.000,0.228,0.188,0.206,0.216,0.237,0.274,0.287,0.335,2.560,4.389
50,1303.600,0.227,0.186,0.207,0.216,0.237,0.271,0.286,0.340,0.488,4.401
55,1287.800,0.225,0.182,0.206,0.215,0.235,0.259,0.274,0.348,2.605,4.452
