Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,743.800,0.605,0.453,0.551,0.590,0.639,0.695,0.739,0.942,2.377,1.652
5,775.600,0.584,0.447,0.539,0.574,0.617,0.668,0.700,0.798,1.069,1.712
10,746.200,0.598,0.455,0.543,0.581,0.627,0.686,0.746,1.044,1.606,1.672
15,758.800,0.585,0.453,0.543,0.576,0.614,0.659,0.695,0.833,1.224,1.710
20,788.200,0.572,0.452,0.528,0.559,0.596,0.646,0.696,0.844,1.494,1.749
25,957.800,0.565,0.448,0.527,0.556,0.593,0.632,0.656,0.771,1.025,1.771
30,1276.200,0.548,0.443,0.514,0.539,0.571,0.604,0.631,0.833,1.095,1.826
35,1231.000,0.566,0.448,0.527,0.557,0.588,0.628,0.664,0.823,1.456,1.768
40,1244.600,0.571,0.453,0.520,0.550,0.593,0.657,0.721,0.955,1.957,1.753
45,1309.200,0.536,0.441,0.508,0.531,0.558,0.590,0.611,0.668,1.110,1.865
50,1306.800,0.536,0.439,0.507,0.530,0.558,0.587,0.611,0.695,3.229,1.864
55,1336.000,0.531,0.438,0.505,0.527,0.550,0.577,0.596,0.676,0.991,1.883
