Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1470.400,0.677,0.187,0.525,0.607,0.996,1.070,1.120,1.314,5.904,1.478
5,1543.800,0.646,0.192,0.513,0.589,0.973,1.052,1.080,1.172,2.724,1.548
10,1506.400,0.662,0.191,0.514,0.600,0.988,1.051,1.088,1.284,2.100,1.511
15,1528.600,0.652,0.192,0.518,0.592,0.979,1.050,1.076,1.158,2.707,1.534
20,1564.400,0.637,0.193,0.508,0.574,0.960,1.030,1.065,1.168,1.751,1.569
25,1935.000,0.515,0.192,0.259,0.531,0.601,0.998,1.053,1.120,2.745,1.942
30,2522.000,0.395,0.186,0.224,0.460,0.539,0.580,0.604,0.678,2.083,2.533
35,2442.200,0.408,0.188,0.252,0.462,0.558,0.598,0.628,0.740,2.198,2.450
40,2454.000,0.406,0.189,0.226,0.468,0.551,0.608,0.659,0.836,2.545,2.461
45,2606.200,0.383,0.188,0.216,0.454,0.531,0.567,0.590,0.646,2.560,2.613
50,2610.400,0.382,0.186,0.216,0.448,0.530,0.565,0.587,0.646,3.229,2.618
55,2623.800,0.381,0.182,0.215,0.458,0.527,0.557,0.578,0.631,2.605,2.627
