Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1285,1285.000,219,568,677,773,1068,1180,1289,2167,5904
1,1487,1487.000,205,529,606,670,998,1052,1091,1249,1830
2,1519,1519.000,198,518,594,654,977,1058,1092,1177,1666
3,1522,1522.000,197,524,596,653,992,1059,1079,1153,1314
4,1539,1539.000,187,511,585,647,984,1045,1078,1235,1627
5,1586,1586.000,194,501,574,629,960,1033,1064,1150,1347
6,1514,1514.000,193,520,605,658,988,1064,1102,1279,1951
7,1510,1510.000,192,527,602,659,987,1070,1094,1184,1376
8,1495,1495.000,193,525,605,666,977,1064,1088,1165,2724
9,1614,1614.000,195,497,565,618,954,1014,1035,1116,1230
10,1509,1509.000,194,515,598,660,977,1054,1082,1191,1324
11,1518,1518.000,193,511,598,657,988,1049,1108,1412,1734
12,1496,1496.000,196,521,601,666,990,1041,1086,1296,1765
13,1480,1480.000,191,514,608,673,1002,1059,1109,1716,2100
14,1529,1529.000,194,512,592,651,987,1053,1074,1167,1355
15,1544,1544.000,192,496,592,645,975,1044,1083,1185,1419
16,1577,1577.000,194,505,573,632,964,1038,1072,1170,1439
17,1504,1504.000,196,525,609,662,990,1043,1081,1172,2707
18,1509,1509.000,196,524,596,660,987,1055,1077,1134,1424
19,1509,1509.000,237,545,591,660,986,1056,1072,1119,1239
20,1466,1466.000,193,545,621,679,1012,1076,1109,1211,1518
21,1525,1525.000,194,513,582,653,983,1043,1096,1585,1751
22,1581,1581.000,193,512,568,630,952,1025,1048,1124,1308
23,1631,1631.000,195,498,551,611,935,1006,1026,1078,1528
24,1619,1619.000,193,502,555,616,943,1001,1016,1067,1287
25,1550,1550.000,196,519,585,643,959,1051,1071,1126,1233
26,1499,1499.000,194,523,601,665,991,1067,1095,1215,2745
27,1570,1570.000,193,514,575,634,968,1032,1065,1172,1361
28,2432,2432.000,193,249,455,409,554,602,636,966,1177
29,2624,2624.000,192,217,299,379,533,566,588,628,933
30,2439,2439.000,195,261,362,407,560,593,614,668,948
31,2614,2614.000,186,216,355,381,531,570,596,652,751
32,2453,2453.000,188,256,474,405,549,588,607,653,2083
33,2508,2508.000,188,222,459,397,541,583,609,798,1095
34,2596,2596.000,191,213,462,383,524,555,579,896,1008
35,2664,2664.000,191,213,454,374,526,553,569,604,696
36,2445,2445.000,188,257,470,407,560,587,605,637,723
37,2430,2430.000,192,258,480,410,558,585,601,629,2198
38,2343,2343.000,195,259,485,425,582,628,659,740,920
39,2329,2329.000,192,247,461,428,579,645,712,1008,1456
40,2298,2298.000,195,257,387,433,588,663,723,992,1337
41,2274,2274.000,192,235,483,438,599,681,764,983,1957
42,2576,2576.000,191,219,459,387,535,574,600,694,1263
43,2589,2589.000,189,218,465,385,535,567,590,655,2545
44,2533,2533.000,190,225,476,393,538,576,596,657,972
45,2462,2462.000,188,265,468,405,554,591,609,652,761
46,2595,2595.000,189,215,459,384,531,568,591,645,738
47,2679,2679.000,188,213,290,372,528,557,578,633,910
48,2637,2637.000,191,219,456,378,528,555,576,624,2560
49,2658,2658.000,190,211,332,375,526,556,582,664,1110
50,2683,2683.000,191,213,317,371,524,555,573,625,912
51,2464,2464.000,193,259,369,404,554,591,615,682,977
52,2629,2629.000,186,215,455,379,526,562,581,657,994
53,2664,2664.000,187,215,296,374,527,558,576,611,3229
54,2612,2612.000,186,212,468,381,527,559,582,646,1840
55,2498,2498.000,187,248,476,399,542,577,598,705,991
56,2697,2697.000,189,210,454,370,521,546,561,601,955
57,2687,2687.000,188,211,453,371,522,548,561,612,760
58,2599,2599.000,182,221,463,384,535,566,585,634,967
59,2638,2638.000,189,213,461,378,523,550,568,615,2605
