Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1138.400,0.259,0.197,0.221,0.234,0.262,0.324,0.386,0.607,4.264,3.854
5,1325.400,0.225,0.187,0.209,0.218,0.230,0.249,0.273,0.358,1.856,4.453
10,1322.400,0.220,0.188,0.206,0.213,0.224,0.244,0.266,0.335,1.684,4.546
15,1336.000,0.230,0.186,0.207,0.219,0.246,0.271,0.284,0.342,1.770,4.351
20,1253.800,0.227,0.188,0.206,0.214,0.230,0.278,0.299,0.363,1.861,4.401
25,1283.800,0.244,0.192,0.215,0.249,0.264,0.277,0.290,0.345,2.380,4.091
30,1295.400,0.224,0.188,0.206,0.214,0.227,0.263,0.289,0.360,2.596,4.462
35,1292.800,0.222,0.187,0.207,0.216,0.228,0.243,0.263,0.342,0.734,4.511
40,1306.400,0.225,0.188,0.207,0.217,0.232,0.259,0.279,0.355,2.290,4.440
45,1275.400,0.236,0.190,0.211,0.224,0.260,0.279,0.293,0.351,2.534,4.242
50,1311.600,0.236,0.185,0.210,0.225,0.260,0.280,0.296,0.348,2.661,4.241
55,1368.800,0.218,0.184,0.204,0.212,0.223,0.239,0.261,0.336,2.912,4.580
