Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1170.400,0.597,0.451,0.532,0.567,0.622,0.704,0.808,1.070,6.390,1.675
5,1306.400,0.535,0.439,0.507,0.528,0.552,0.581,0.609,0.775,1.076,1.870
10,1330.400,0.530,0.443,0.505,0.525,0.548,0.574,0.593,0.674,3.908,1.886
15,1272.200,0.542,0.441,0.510,0.533,0.561,0.592,0.616,0.852,1.047,1.846
20,1300.800,0.547,0.447,0.506,0.527,0.556,0.599,0.739,0.930,3.153,1.827
25,1247.600,0.548,0.446,0.521,0.546,0.572,0.596,0.613,0.651,0.869,1.826
30,1304.000,0.542,0.441,0.506,0.527,0.552,0.586,0.637,0.930,1.452,1.844
35,1330.600,0.534,0.441,0.506,0.528,0.551,0.579,0.599,0.817,2.693,1.873
40,1284.000,0.548,0.442,0.512,0.536,0.568,0.610,0.653,0.813,1.437,1.825
45,1286.600,0.543,0.445,0.514,0.538,0.567,0.596,0.614,0.679,1.312,1.842
50,1267.200,0.544,0.442,0.512,0.536,0.565,0.596,0.621,0.862,0.998,1.837
55,1323.600,0.529,0.441,0.502,0.524,0.547,0.574,0.595,0.715,1.014,1.890
