Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2308.800,0.431,0.197,0.235,0.482,0.570,0.644,0.714,1.016,6.390,2.322
5,2631.800,0.379,0.187,0.218,0.375,0.527,0.559,0.581,0.657,1.856,2.642
10,2652.800,0.376,0.188,0.213,0.451,0.525,0.555,0.574,0.623,3.908,2.662
15,2608.200,0.382,0.186,0.218,0.305,0.532,0.569,0.592,0.678,1.770,2.619
20,2554.600,0.390,0.188,0.215,0.459,0.528,0.566,0.600,0.899,3.153,2.563
25,2531.400,0.394,0.192,0.248,0.334,0.545,0.577,0.596,0.634,2.380,2.539
30,2599.400,0.384,0.188,0.214,0.454,0.527,0.560,0.586,0.878,2.596,2.606
35,2623.400,0.380,0.187,0.216,0.456,0.528,0.558,0.579,0.676,2.693,2.631
40,2590.400,0.385,0.188,0.217,0.367,0.536,0.578,0.610,0.727,2.290,2.596
45,2562.000,0.390,0.190,0.224,0.457,0.538,0.575,0.596,0.646,2.534,2.564
50,2578.800,0.387,0.185,0.224,0.329,0.535,0.572,0.596,0.694,2.661,2.581
55,2692.400,0.371,0.184,0.212,0.309,0.524,0.554,0.574,0.635,2.912,2.695
